,Time,RSSI,File Name
29,11-07-2023 17:02:21:842,-72,0_e
30,11-07-2023 17:02:23:844,-72,0_e
0,Mac Address ,28:DE:65:6E:4E:16,10m
1,Time, RSSI,10m
2,11-07-2023 15:29:38:268,-64,10m
3,11-07-2023 15:29:40:267,-64,10m
4,11-07-2023 15:29:42:267,-64,10m
5,11-07-2023 15:29:44:268,-64,10m
6,11-07-2023 15:29:46:269,-64,10m
7,11-07-2023 15:29:48:269,-64,10m
8,11-07-2023 15:29:50:269,-64,10m
9,11-07-2023 15:29:52:270,-64,10m
10,11-07-2023 15:29:54:271,-64,10m
11,11-07-2023 15:29:56:272,-64,10m
12,11-07-2023 15:29:58:273,-64,10m
13,11-07-2023 15:30:00:272,-64,10m
14,11-07-2023 15:30:02:272,-64,10m
15,11-07-2023 15:30:04:273,-64,10m
16,11-07-2023 15:30:06:274,-63,10m
17,11-07-2023 15:30:08:275,-63,10m
18,11-07-2023 15:30:10:275,-62,10m
19,11-07-2023 15:30:12:275,-62,10m
20,11-07-2023 15:30:14:275,-62,10m
21,11-07-2023 15:30:16:276,-62,10m
22,11-07-2023 15:30:18:275,-62,10m
23,11-07-2023 15:30:20:276,-62,10m
24,11-07-2023 15:30:22:277,-62,10m
25,11-07-2023 15:30:24:278,-62,10m
26,11-07-2023 15:30:26:276,-62,10m
27,11-07-2023 15:30:28:277,-62,10m
28,11-07-2023 15:30:30:278,-62,10m
29,11-07-2023 15:30:32:277,-62,10m
30,11-07-2023 15:30:34:277,-63,10m
31,11-07-2023 15:30:36:281,-63,10m
32,11-07-2023 15:30:38:278,-63,10m
33,11-07-2023 15:30:40:278,-64,10m
34,11-07-2023 15:30:42:279,-64,10m
35,11-07-2023 15:30:44:279,-64,10m
36,11-07-2023 15:30:46:281,-64,10m
37,11-07-2023 15:30:48:279,-64,10m
38,11-07-2023 15:30:50:280,-64,10m
39,11-07-2023 15:30:52:280,-63,10m
40,11-07-2023 15:30:54:282,-63,10m
41,11-07-2023 15:30:56:281,-63,10m
42,11-07-2023 15:30:58:284,-63,10m
43,11-07-2023 15:31:00:282,-63,10m
44,11-07-2023 15:31:02:283,-62,10m
45,11-07-2023 15:31:04:284,-62,10m
46,11-07-2023 15:31:06:285,-61,10m
47,11-07-2023 15:31:08:284,-61,10m
48,11-07-2023 15:31:10:284,-61,10m
49,11-07-2023 15:31:12:284,-61,10m
50,11-07-2023 15:31:14:284,-61,10m
51,11-07-2023 15:31:16:283,-63,10m
52,11-07-2023 15:31:18:285,-63,10m
53,11-07-2023 15:31:20:285,-63,10m
54,11-07-2023 15:31:22:286,-66,10m
55,11-07-2023 15:31:24:285,-67,10m
56,11-07-2023 15:31:26:287,-67,10m
57,11-07-2023 15:31:28:286,-67,10m
58,11-07-2023 15:31:30:287,-67,10m
59,11-07-2023 15:31:32:286,-67,10m
60,11-07-2023 15:31:34:287,-66,10m
61,11-07-2023 15:31:36:286,-65,10m
62,11-07-2023 15:31:38:287,-65,10m
0,Mac Address ,28:DE:65:6E:4E:16,12.55_2
1,Time, RSSI,12.55_2
2,11-07-2023 15:33:34:951,-69,12.55_2
3,11-07-2023 15:33:36:951,-70,12.55_2
4,11-07-2023 15:33:38:951,-70,12.55_2
5,11-07-2023 15:33:40:952,-70,12.55_2
6,11-07-2023 15:33:42:952,-70,12.55_2
7,11-07-2023 15:33:44:951,-70,12.55_2
8,11-07-2023 15:33:46:952,-70,12.55_2
9,11-07-2023 15:33:48:951,-70,12.55_2
10,11-07-2023 15:33:50:953,-70,12.55_2
11,11-07-2023 15:33:52:952,-70,12.55_2
12,11-07-2023 15:33:54:951,-70,12.55_2
13,11-07-2023 15:33:56:951,-70,12.55_2
14,11-07-2023 15:33:58:952,-70,12.55_2
15,11-07-2023 15:34:00:952,-70,12.55_2
16,11-07-2023 15:34:02:953,-70,12.55_2
17,11-07-2023 15:34:04:953,-70,12.55_2
18,11-07-2023 15:34:06:952,-70,12.55_2
19,11-07-2023 15:34:08:953,-70,12.55_2
20,11-07-2023 15:34:10:953,-70,12.55_2
21,11-07-2023 15:34:12:953,-69,12.55_2
22,11-07-2023 15:34:14:954,-69,12.55_2
23,11-07-2023 15:34:16:955,-69,12.55_2
24,11-07-2023 15:34:18:955,-69,12.55_2
25,11-07-2023 15:34:20:956,-69,12.55_2
26,11-07-2023 15:34:22:955,-68,12.55_2
27,11-07-2023 15:34:24:955,-68,12.55_2
28,11-07-2023 15:34:26:955,-68,12.55_2
29,11-07-2023 15:34:28:956,-68,12.55_2
30,11-07-2023 15:34:30:956,-68,12.55_2
31,11-07-2023 15:34:32:956,-68,12.55_2
32,11-07-2023 15:34:34:957,-68,12.55_2
33,11-07-2023 15:34:36:957,-68,12.55_2
34,11-07-2023 15:34:38:958,-68,12.55_2
35,11-07-2023 15:34:40:958,-68,12.55_2
36,11-07-2023 15:34:42:959,-68,12.55_2
37,11-07-2023 15:34:44:959,-68,12.55_2
38,11-07-2023 15:34:46:960,-68,12.55_2
39,11-07-2023 15:34:48:960,-68,12.55_2
40,11-07-2023 15:34:50:960,-69,12.55_2
41,11-07-2023 15:34:52:961,-69,12.55_2
42,11-07-2023 15:34:54:961,-69,12.55_2
43,11-07-2023 15:34:56:963,-71,12.55_2
44,11-07-2023 15:34:58:962,-71,12.55_2
45,11-07-2023 15:35:00:963,-71,12.55_2
46,11-07-2023 15:35:02:963,-71,12.55_2
0,Mac Address ,28:DE:65:6E:4E:16,12.5m
1,Time, RSSI,12.5m
2,11-07-2023 15:35:28:328,-63,12.5m
3,11-07-2023 15:35:30:328,-63,12.5m
4,11-07-2023 15:35:32:327,-63,12.5m
5,11-07-2023 15:35:34:329,-63,12.5m
6,11-07-2023 15:35:36:328,-63,12.5m
7,11-07-2023 15:35:38:330,-63,12.5m
8,11-07-2023 15:35:40:329,-63,12.5m
9,11-07-2023 15:35:42:330,-60,12.5m
10,11-07-2023 15:35:44:332,-60,12.5m
11,11-07-2023 15:35:46:331,-60,12.5m
12,11-07-2023 15:35:48:333,-59,12.5m
13,11-07-2023 15:35:50:335,-59,12.5m
14,11-07-2023 15:35:52:334,-59,12.5m
15,11-07-2023 15:35:54:334,-59,12.5m
